Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
3.239,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.253,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.319,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.334,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.363,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.20,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.385,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.414,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.20,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.444,0.000,0.000,0.000,0.000,0.000, ,0.14,0.00,0.12,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.451,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.488,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.495,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.524,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.524,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.546,0.000,0.000,0.000,0.000,0.000, ,0.06,0.16,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.568,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.568,0.000,0.000,0.000,0.007,0.000, ,0.06,0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.590,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.590,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.605,0.000,0.000,0.000,0.007,0.000, ,-0.02,-0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.598,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.620,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.12,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.627,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.627,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.656,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
