Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.007,0.000,0.000, ,-0.08,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.28,571.43,39.27,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.10,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.29,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.21,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.10,-0.13,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.24,571.43,39.27,
0.000,0.000,0.000,0.007,0.000,0.000, ,0.00,-0.10,-0.13,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.93,4000.00,58.17,571.43,39.30,
0.000,0.000,0.000,0.015,0.000,0.015, ,0.15,0.29,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.89,4000.00,58.21,575.34,39.23,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.36,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,20.00,4000.00,58.13,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.29,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.34,
