Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.044,0.000,0.015,0.044,0.000,0.007, ,0.15,0.06,-0.02,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.007,0.007,0.000,0.000,0.000,0.000, ,-0.11,0.23,0.72,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.022,0.000,0.000,0.000,0.000,0.000, ,-0.27,0.31,0.97,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.044,0.000,0.007, ,-0.78,0.57,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.022,0.000,0.000, ,-0.11,0.57,0.72,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.088,0.000,0.000,0.000,0.000,0.000, ,0.40,0.48,-0.02,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.000,0.000,0.000,0.000, ,-0.11,-0.10,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.029,0.044,0.029,0.000,0.000, ,-0.44,0.06,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.007,0.000,0.000,0.000,0.000,0.000, ,-0.61,-0.10,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.059,0.022,0.015,0.015,0.000,0.000, ,-0.69,0.23,1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.015,0.000,0.000,0.000, ,-0.36,0.48,0.23,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.066,0.007,0.000,0.022,0.000,0.000, ,0.40,-0.10,-0.10,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.015,0.022,0.000,0.000, ,0.23,-0.44,0.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.029,0.000,0.000, ,-0.19,-0.52,0.89,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.000,0.044,0.000,0.000, ,-0.19,-0.44,0.97,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.31,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.088,0.000,0.000,0.007,0.000,0.000, ,0.57,1.15,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.000,0.007,0.000,0.000, ,0.15,0.48,-0.35,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.007,0.029,0.000,0.000, ,-0.27,-0.61,0.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.066,0.007,0.015,0.037,0.000,0.000, ,-0.69,-0.44,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.022,0.000,0.000,0.000,0.000, ,-0.19,0.57,0.89,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.037,0.000,0.000, ,-0.36,0.57,0.56,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.015,0.000,0.007, ,-0.11,0.57,0.81,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.022,0.000,0.000,0.015,0.000,0.000, ,0.06,0.15,-0.19,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.000,0.000,0.015,0.000,0.000, ,0.23,0.06,-0.19,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.000,0.007,0.000,0.000, ,-0.11,-0.10,0.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.000,0.000,0.007,0.000,0.000, ,-0.19,-0.10,0.23,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.007,0.000,0.037,0.000,0.000, ,-0.61,0.48,0.89,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.000,0.015,0.000,0.000, ,-0.61,0.48,0.72,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.022,0.000,0.022, ,-0.36,0.48,0.23,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.088,0.000,0.015,0.022,0.000,0.000, ,0.06,0.06,-0.02,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.073,0.022,0.029,0.000,0.000,0.000, ,0.57,-0.10,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.022,0.007,0.000,0.000,0.000,0.000, ,-0.11,-0.44,0.56,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.007,0.007,0.000,0.059,0.000,0.015, ,-0.53,-0.78,0.97,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.066,0.015,0.007, ,-0.27,0.15,0.81,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.000,0.000,0.007,0.000,0.000, ,-0.02,-0.10,0.56,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.015,0.000,0.029,0.000,0.000, ,0.48,0.65,-0.10,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.000,0.000,0.022,0.000,0.000, ,-0.27,-0.10,-0.19,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.059,0.000,0.000,0.000,0.000,0.007, ,-0.36,-0.61,0.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.007,0.000,0.000,0.037,0.000,0.000, ,-0.27,-0.10,0.39,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.000,0.022,0.000,0.007, ,-0.02,0.15,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.007,0.015,0.000,0.007, ,-0.02,0.06,0.23,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.007,0.000,0.000,0.000,0.000, ,-0.02,0.23,0.72,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.000,0.037,0.000,0.015, ,-0.02,-0.10,0.56,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.007,0.000,0.015,0.000,0.000, ,-0.44,-0.10,0.89,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.007,0.000,0.000,0.000,0.000, ,-0.78,0.23,0.72,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.007,0.000,0.000,0.000,0.000,0.000, ,-0.27,-0.44,0.64,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.007,0.015,0.000,0.000,0.000, ,-0.11,0.06,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.044,0.015,0.000, ,-0.36,-0.44,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.022,0.000,0.000,0.000,0.000, ,-0.86,0.48,1.47,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
