,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.65,Close -Velocity (m/s) :,3.63,Close -Velocity (m/s) :,3.83,Close -Velocity (m/s) :,3.6,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.11,Open -Velocity (m/s) :,7.11,Open -Velocity (m/s) :,6.64,Open -Velocity (m/s) :,6.47,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,YBreak1,,YBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0,0,0, ,0.32,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0.4,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.4,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.32,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.32,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.16,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.08,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.32,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.32,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.4,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0.4,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.4,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.24,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.24,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.32,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.32,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,-0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.32,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,0.16,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0,0,0, ,-0.08,-0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,-0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.08,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,-0.24,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0.16,0,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,0,0.16,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
0,0,0,0,0,0, ,-0.08,0.08,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
