,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.65,Close -Velocity (m/s) :,3.69,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,7.74,Open -Velocity (m/s) :,7.74,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.524,1.531,1.473,0.044,0,0.007, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.553,1.553,1.487,0.029,0,0, ,0,0,0,-0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.546,1.48,0.015,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.495,0.022,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.495,1.539,1.48,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.517,1.458,0.059,0,0, ,0,0,0,-0.12,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.539,1.48,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
1.546,1.539,1.487,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
1.539,1.539,1.48,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.517,1.539,1.465,0.066,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.539,1.473,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.553,1.495,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.539,1.48,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.524,1.458,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.553,1.495,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.524,1.473,0.051,0,0.007, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.502,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
1.546,1.539,1.487,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.524,1.451,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.524,1.451,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.517,1.531,1.473,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.539,1.487,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.524,1.473,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.502,1.524,1.465,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.546,1.473,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.546,1.502,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.553,1.553,1.502,0.022,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.546,1.495,0.044,0,0, ,0,0,0,0.2,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.531,1.465,0.051,0.007,0, ,0,0,0,-0.04,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.546,1.487,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.029,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.539,1.495,0.051,0,0, ,0,0,0,0.2,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.487,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.495,1.517,1.443,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.531,1.458,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.546,1.487,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.502,1.539,1.487,0.029,0,0, ,0,0,0,0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.524,1.465,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.524,1.458,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.539,1.473,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.495,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.546,1.487,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.473,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.546,1.495,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.553,1.502,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.561,1.502,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.546,1.502,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.531,1.473,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.524,1.465,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.495,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.539,1.487,0.044,0,0, ,0,0,0,0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.524,1.458,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.546,1.48,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.553,1.502,0.015,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.539,1.48,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.495,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.531,1.48,0.073,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.524,1.48,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.568,1.568,1.524,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.473,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.531,1.48,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.487,0.037,0,0, ,0,0,0,-0.2,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.561,1.509,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.473,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.509,1.436,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.531,1.473,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.531,1.473,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.561,1.502,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.546,1.495,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.524,1.458,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.473,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.553,1.502,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.568,1.561,1.509,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.487,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.458,0.059,0,0, ,0,0,0,-0.12,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.539,1.48,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.495,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.487,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.473,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.509,1.436,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.473,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.487,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.487,0.044,0,0, ,0,0,0,0.2,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.524,1.465,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.524,1.458,0.066,0.007,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.539,1.48,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.487,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.539,1.48,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.539,1.473,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.546,1.502,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.48,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.044,0,0, ,0,0,0,0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.531,1.495,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.531,1.48,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.48,0.022,0,0, ,0,0,0,-0.28,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.546,1.487,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.473,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.531,1.465,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.539,1.487,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.553,1.502,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.546,1.487,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.48,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.48,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.561,1.509,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.561,1.502,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.561,1.502,0.066,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.531,1.473,0.066,0.007,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.473,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.539,1.487,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.495,0.015,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.553,1.487,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.524,1.473,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.487,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.561,1.509,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.546,1.495,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.487,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.531,1.48,0.066,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.568,1.509,0.037,0,0, ,0,0,0,-0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.553,1.509,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.568,1.568,1.509,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.561,1.502,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.546,1.48,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.561,1.517,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.509,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.56,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.487,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.458,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.531,1.473,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.561,1.561,1.502,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.546,1.495,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.48,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.539,1.473,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.48,0.051,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.561,1.509,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.553,1.502,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.473,0.059,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.465,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.553,1.495,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.553,1.509,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.502,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.531,1.473,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.546,1.48,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.553,1.487,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.465,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.539,1.487,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.465,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.524,1.524,1.458,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.539,1.546,1.487,0.022,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.539,1.487,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.524,1.473,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.524,1.458,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.539,1.487,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.553,1.539,1.495,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.502,1.539,1.487,0.051,0,0, ,0,0,0,0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.458,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.531,1.495,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.465,0.029,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.531,1.48,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.495,1.539,1.473,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.495,1.509,1.458,0.051,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.531,1.473,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.495,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.539,1.487,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.531,1.487,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1529.67,0
1.502,1.524,1.473,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.546,1.487,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.561,1.553,1.509,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.546,1.546,1.495,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.517,1.546,1.473,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.517,1.524,1.465,0.066,0,0.007, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.531,1.553,1.495,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.553,1.553,1.517,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.509,1.531,1.473,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.487,1.502,1.436,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.502,1.517,1.451,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.524,1.531,1.473,0.029,0,0, ,0,0,0,-0.2,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.553,1.553,1.495,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.517,1.531,1.48,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.495,1.509,1.451,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.517,1.524,1.465,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.539,1.553,1.487,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.546,1.546,1.502,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.531,1.524,1.473,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.509,1.524,1.458,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
