,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.4,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.531,1.539,1.312,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.524,1.524,1.297,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.495,1.517,1.297,0.066,0,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.502,1.531,1.304,0.066,0,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.524,1.546,1.326,0.051,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.539,1.561,1.341,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.531,1.546,1.341,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.495,1.531,1.326,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.502,1.524,1.297,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.502,1.509,1.275,0.051,0,0, ,0,0,0,-0.2,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.531,1.312,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.517,1.539,1.275,0.029,0,0, ,0,0,0,0.28,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.517,1.546,1.304,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.546,1.539,1.326,0.029,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.502,1.561,1.334,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.509,1.531,1.297,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.502,1.531,1.304,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.531,1.561,1.326,0.015,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.531,1.304,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.539,1.561,1.334,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.509,1.539,1.312,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.524,1.553,1.297,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.502,1.531,1.304,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.531,1.304,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.546,1.561,1.348,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.553,1.553,1.326,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.553,1.568,1.356,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.517,1.539,1.326,0.044,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.524,1.312,0.073,0.007,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.539,1.553,1.341,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.539,1.561,1.334,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.561,1.553,1.341,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.539,1.312,0.044,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.531,1.561,1.312,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.42,4000,0,0,0
1.509,1.539,1.319,0.066,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.524,1.524,1.304,0.066,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.531,1.553,1.334,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.517,1.553,1.319,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.553,1.575,1.348,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.42,4000,0,0,0
1.531,1.561,1.319,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.42,4000,0,0,0
1.524,1.539,1.319,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.502,1.531,1.29,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.517,1.524,1.312,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.531,1.539,1.319,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.524,1.553,1.319,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.553,1.561,1.348,0.015,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.531,1.546,1.326,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.42,4000,0,0,0
1.531,1.531,1.312,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.509,1.531,1.297,0.051,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.495,1.524,1.29,0.051,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.524,1.546,1.326,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.539,1.546,1.348,0.022,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.546,1.553,1.334,0.037,0,0, ,0,0,0,0.28,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.546,1.334,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.517,1.531,1.304,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.531,1.319,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.509,1.539,1.304,0.059,0,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.539,1.553,1.341,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.561,1.568,1.356,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.46,4000,0,0,0
1.539,1.553,1.334,0.044,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.546,1.568,1.334,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.531,1.312,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
